State/UT,Population,Area (sq km)
Andaman and Nicobar Islands,417036,8249
Andhra Pradesh,53903393,160205
Arunachal Pradesh,1570458,83743
Assam,35607039,78438
Bihar,124799926,94163
Chandigarh,117961,114
Chhattisgarh,32397036,135191
Dadra and Nagar Haveli and Daman and Diu,743086,603
Delhi,18710922,1484
Goa,1586250,3702
Gujarat,63872399,196024
Haryana,28941133,44212
Himachal Pradesh,7305888,55673
Jharkhand,37403022,79714
Karnataka,67562686,191791
Kerala,35699443,38863
Ladakh,289023,59146
Lakshadweep,73111,32
Madhya Pradesh,85358965,308252
Maharashtra,123144223,307713
Manipur,3091545,22327
Meghalaya,3366710,22429
Mizoram,1239244,21081
Nagaland,2249695,16579
Odisha,46356334,155707
Puducherry,1508214,479
Punjab,30141373,50362
Rajasthan,81032689,342239
Sikkim,690251,7096
Tamil Nadu,77841267,130058
Telangana,39362732,112077
Tripura,4290586,10486
Uttar Pradesh,241912218,240928
Uttarakhand,11141097,53483
West Bengal,105449929,88752
